"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,19.02.2021,08:01:00,130.130,130.800,130.000,130.650,170220
AAPL,NASDAQ,22.02.2021,10:59:00,125.750,125.790,125.600,125.790,596186
AAPL,NASDAQ,22.02.2021,08:03:00,127.660,130.194,127.660,127.770,6688
AAPL,NASDAQ,23.02.2021,09:48:00,118.720,119.790,118.390,119.210,1422387
AAPL,NASDAQ,23.02.2021,15:31:00,126.640,126.710,126.520,126.690,333299
AAPL,NASDAQ,24.02.2021,10:06:00,122.350,122.540,122.230,122.435,598693
AAPL,NASDAQ,24.02.2021,08:01:00,125.870,127.490,125.780,127.060,130670
AAPL,NASDAQ,25.02.2021,18:02:00,120.530,120.530,120.350,120.450,12411
AAPL,NASDAQ,25.02.2021,09:39:00,126.070,126.459,126.010,126.300,633487
AAPL,NASDAQ,26.02.2021,08:01:00,121.100,121.820,120.100,120.900,156182
AAPL,NASDAQ,26.02.2021,15:50:00,124.730,124.850,124.700,124.771,407053
AAPL,NASDAQ,01.03.2021,08:02:00,123.499,123.499,121.563,123.480,3991
AAPL,NASDAQ,01.03.2021,16:14:00,128.480,128.690,127.790,128.690,148938
AAPL,NASDAQ,02.03.2021,17:13:00,125.010,125.030,125.000,125.000,12204
AAPL,NASDAQ,02.03.2021,09:31:00,128.400,128.720,128.030,128.190,1740574
AAPL,NASDAQ,03.03.2021,18:24:00,121.710,121.710,121.500,121.620,8387
AAPL,NASDAQ,03.03.2021,08:01:00,126.120,126.150,125.510,125.780,128892
AAPL,NASDAQ,04.03.2021,14:03:00,118.630,118.910,118.620,118.740,313081
AAPL,NASDAQ,04.03.2021,09:36:00,122.750,123.600,122.710,123.150,993991
AAPL,NASDAQ,05.03.2021,11:29:00,117.640,117.810,117.570,117.620,317602
AAPL,NASDAQ,05.03.2021,15:58:00,121.600,121.935,121.595,121.773,699807
AAPL,NASDAQ,08.03.2021,16:12:00,116.250,116.250,116.110,116.180,21015
AAPL,NASDAQ,08.03.2021,16:29:00,116.510,121.420,116.410,116.500,126756
AAPL,NASDAQ,09.03.2021,08:20:00,118.570,118.570,118.500,118.560,35415
AAPL,NASDAQ,09.03.2021,15:20:00,121.930,122.060,121.930,122.040,608605
AAPL,NASDAQ,10.03.2021,10:54:00,119.740,119.770,119.450,119.479,482130
AAPL,NASDAQ,10.03.2021,09:31:00,121.540,122.170,121.530,121.850,1956560
AAPL,NASDAQ,11.03.2021,08:02:00,122.580,122.610,120.130,122.610,21700
AAPL,NASDAQ,11.03.2021,09:36:00,122.770,123.210,122.740,123.010,1083418
AAPL,NASDAQ,12.03.2021,09:41:00,119.330,119.410,119.160,119.345,655866
AAPL,NASDAQ,12.03.2021,08:01:00,120.500,122.112,120.100,120.480,182954
AAPL,NASDAQ,15.03.2021,09:34:00,120.850,120.920,120.420,120.770,486529
AAPL,NASDAQ,15.03.2021,17:51:00,124.560,124.560,124.550,124.550,2800
AAPL,NASDAQ,16.03.2021,08:02:00,125.160,125.180,124.299,125.180,3079
AAPL,NASDAQ,16.03.2021,10:57:00,127.150,127.220,127.060,127.061,381530
AAPL,NASDAQ,17.03.2021,13:02:00,122.480,122.480,122.336,122.403,300135
AAPL,NASDAQ,17.03.2021,08:04:00,123.751,125.883,123.620,123.700,10248
AAPL,NASDAQ,18.03.2021,15:51:00,120.448,120.590,120.320,120.575,802716
AAPL,NASDAQ,18.03.2021,08:01:00,123.800,125.071,122.680,123.080,225544
AAPL,NASDAQ,19.03.2021,10:09:00,119.835,119.835,119.675,119.775,435470
